ISBN,Sales,Stores,Title,Authors,Publisher,Categories,Description,Binding,Subjects
9781668072240,18,2,The Serviceberry: Abundance and Reciprocity in the Natural World,Robin Wall Kimmerer,Scribner,Young Adult,"From the #1 New York Times bestselling author of Braiding Sweetgrass, a bold and inspiring vision for how to orient our lives around gratitude, reciprocity, and community, based on the lessons of the natural world.<br/><br/>As Indigenous scientist and author of Braiding Sweetgrass Robin Wall Kimmerer harvests serviceberries alongside the birds, she considers the ethic of reciprocity that lies at the heart of the gift economy. How, she asks, can we learn from Indigenous wisdom and the plant world to reimagine what we value most? Our economy is rooted in scarcity, competition, and the hoarding of resources, and we have surrendered our values to a system that actively harms what we love. Meanwhile, the serviceberry’s relationship with the natural world is an embodiment of reciprocity, interconnectedness, and gratitude. The tree distributes its wealth—its abundance of sweet, juicy berries—to meet the needs of its natural community. And this distribution insures its own survival. As Kimmerer explains, “Serviceberries show us another model, one based upon reciprocity, where wealth comes from the quality of your relationships, not from the illusion of self-sufficiency.”<br/><br/>As Elizabeth Gilbert writes, Robin Wall Kimmerer is “a great teacher, and her words are a hymn of love to the world.” The Serviceberry is an antidote to the broken relationships and misguided goals of our times, and a reminder that “hoarding won’t save us, all flourishing is mutual.”",Hardcover,"Science & Math, Biological Sciences, Plants, Nature & Ecology, Nature Writing & Essays, Teen & Young Adult, Literature & Fiction, TV, Movie, Video Game Adaptations, Science Fiction & Fantasy, Science Fiction, Politics & Social Sciences, Social Sciences, Ethnic Studies"
9781250171016,12,4,"Children of Anguish and Anarchy (Legacy of Orisha, 3)",Tomi Adeyemi,Henry Holt and Co. (BYR),Young Adult,"Featuring gorgeous designed edges, dazzling metallic foil designs on the jacket and case, and an exclusive endpaper map that reveals new unexplored territories, Tomi Adeyemi’s #1 New York Times-bestselling Legacy of Orïsha series comes to an earth-shaking conclusion.<br/><br/>New allies rise.<br/>The Blood Moon nears.<br/>Zélie faces her final enemy.<br/>The king who hunts her heart.<br/><br/>When Zélie seized the royal palace that fateful night, she thought her battles had come to an end. The monarchy had finally fallen. The maji had risen again. Zélie never expected to find herself locked in a cage and trapped on a foreign ship. Now warriors with iron skulls traffic her and her people across the seas, far from their homeland.<br/><br/>Then everything changes when Zélie meets King Baldyr, her true captor, the ruler of the Skulls, and the man who has ravaged entire civilizations to find her. Baldyr’s quest to harness Zélie’s strength sends Zélie, Amari, and Tzain searching for allies in unknown lands.<br/><br/>But as Baldyr closes in, catastrophe charges Orïsha’s shores. It will take everything Zélie has to face her final enemy and save her people before the Skulls annihilate them for good.<br/><br/>-<br/><br/>The Complete Legacy of Orïsha Series:<br/><br/>Children of Blood and Bone (Book 1)<br/>Children of Virtue and Vengeance (Book 2)<br/>Children of Anguish and Anarchy (Book 3)",Hardcover,"Teen & Young Adult, Literature & Fiction, Social & Family Issues, Science Fiction & Fantasy, Fantasy"
9780316365215,18,6,Rest Is Resistance: A Manifesto,Tricia Hersey,"Little, Brown Spark",Non-Fiction,"***INSTANT NEW YORK TIMES BESTSELLER***<br/><br/>Disrupt and push back against capitalism and white supremacy. In this book, Tricia Hersey, aka The Nap Bishop, encourages us to connect to the liberating power of rest, daydreaming, and naps as a foundation for healing and justice.<br/><br/>What would it be like to live in a well-rested world? Far too many of us have claimed productivity as the cornerstone of success. Brainwashed by capitalism, we subject our bodies and minds to work at an unrealistic, damaging, and machine‑level pace –– feeding into the same engine that enslaved millions into brutal labor for its own relentless benefit.<br/><br/>In Rest Is Resistance, Tricia Hersey, aka the Nap Bishop, casts an illuminating light on our troubled relationship with rest and how to imagine and dream our way to a future where rest is exalted. Our worth does not reside in how much we produce, especially not for a system that exploits and dehumanizes us. Rest, in its simplest form, becomes an act of resistance and a reclaiming of power because it asserts our most basic humanity. We are enough. The systems cannot have us.<br/><br/>Rest Is Resistance is rooted in spiritual energy and centered in Black liberation, womanism, somatics, and Afrofuturism. With captivating storytelling and practical advice, all delivered in Hersey’s lyrical voice and informed by her deep experience in theology, activism, and performance art, Rest Is Resistance is a call to action, a battle cry, a field guide, and a manifesto for all of us who are sleep deprived, searching for justice, and longing to be liberated from the oppressive grip of Grind Culture.",Hardcover,"Self-Help, Personal Transformation, Health, Fitness & Dieting, Psychology & Counseling, Personality, Religion & Spirituality, Politics & Social Sciences, Sociology"
9781638932727,10,3,Only For The Week (The Forever Falling Series),Natasha Bishop,Zando – Slowburn,Non-Fiction,"The buzzy, viral sensation Only For The Week, is the first book in Natasha Bishop’s The Forever Falling series, featuring Black love, messy family dynamics, sexy banter, and sweet and spicy romance.<br/><br/>You are cordially invited to the wedding of Amerie Cross and Arnold Hightower.<br/><br/>A destination wedding in Tulum should be a breeze, but Dr. Janelle Cross―the sister of the bride and the ex-girlfriend of the groom―can’t catch a break. Between her maid of honor duties, her sister’s Bridezilla antics, and her family tiptoeing around her non-existent feelings for her ex, Janelle is desperate to let off some steam. So, when the best man, Rome, proposes they give into their undeniable chemistry, Janelle agrees, under one condition: their affair can only last a week.<br/><br/>What happens in Tulum doesn’t always stay in Tulum . . .<br/><br/>For Rome Martin, Janelle has always been off limits. She’s his best friends ex, and Rome is nothing if not loyal. But he’s never been able to get her off his mind, and now he might finally have a chance to win her over.<br/><br/>As the wedding brings them together, every kiss, adventure, and stolen moment feels right. Janelle and Rome agreed to live in the moment, but are they willing to risk it all for forever?<br/><br/>Tropes:<br/>Friends with benefits<br/>He falls first<br/>Vacation romance<br/>Family drama<br/>Black joy<br/>Forced proximity<br/>Forbidden love<br/>Fling to forever",Paperback,"Literature & Fiction, United States, Black & African American, Romance, Contemporary, Romantic Comedy"
9780063216396,4,3,Mary Can!,Mary J. Blige,HarperCollins,Children's,"From multi-award-winning singer, artist, actress, and icon Mary J. Blige comes a fun and inspirational story that teaches young readers they can be anything, and they are enough.<br/>Most of the time, people say “no” or “you can’t” because they dream too small.<br/>Young Mary has been told that there are many things she can’t do. Like stay up past bedtime, or be an astronaut or become president. But what she really wants is to sing, and she isn’t about to let anyone tell her she can’t do it!<br/>A powerful motivating tale about a confident and ambitious girl who doesn’t feed into negativity, this debut children’s book from legendary artist Mary J. Blige proves that anyone can make their dreams come true by believing in themselves. It's a great conversation starter for overcoming discouragement from others.<br/>Brought to life with imaginative illustrations by Ezra Jack Keats Award-winning illustrator Ashleigh Corrin, Mary Can! is perfect for go-getters who aren’t afraid to be a YES in a world full of NOs.",Hardcover,"Children's Books, Arts, Music & Photography, Performing Arts, Growing Up & Facts of Life, Friendship, Social Skills & School Life, Biographies, Geography & Cultures, Multicultural Stories, Self Service, Custom Stores"
9780316262262,5,3,Ghost Boys,Jewell Parker Rhodes,"Little, Brown",Children's,"A heartbreaking and powerful story about a black boy killed by a police officer, drawing connections through history, from award-winning author Jewell Parker Rhodes.<br/><br/>Only the living can make the world better. Live and make it better.<br/><br/>Twelve-year-old Jerome is shot by a police officer who mistakes his toy gun for a real threat. As a ghost, he observes the devastation that's been unleashed on his family and community in the wake of what they see as an unjust and brutal killing.<br/><br/>Soon Jerome meets another ghost: Emmett Till, a boy from a very different time but similar circumstances. Emmett helps Jerome process what has happened, on a journey towards recognizing how historical racism may have led to the events that ended his life. Jerome also meets Sarah, the daughter of the police officer, who grapples with her father's actions.<br/><br/>Once again Jewell Parker Rhodes deftly weaves historical and socio-political layers into a gripping and poignant story about how children and families face the complexities of today's world, and how one boy grows to understand American blackness in the aftermath of his own death.",Paperback,"Children's Books, Growing Up & Facts of Life, Difficult Discussions, Literature & Fiction, Historical Fiction, Science Fiction & Fantasy, Spine-Chilling Horror, Geography & Cultures, Multicultural Stories"
9780316441223,9,2,Princess Hair,Sharee Miller,"Little, Brown Books for Young Readers",Children's,"Princesses with curls wear pearls. Princesses with head wraps take long naps. And princesses with teeny-weeny Afros wear teeny-weeny bows.<br/><br/>Celebrate different hair shapes, textures, and styles in this self-affirming picture book! From dreadlocks to blowouts to braids, Princess Hair shines a spotlight on the beauty and diversity of black hair, showing young readers that every kind of hair is princess hair.<br/><br/>Debut author-illustrator Sharee Miller encourages confidence and pride in this playful, colorful picture book that teaches readers to love every bit of themselves.",Paperback,"Children's Books, Growing Up & Facts of Life, Friendship, Social Skills & School Life, Activities, Crafts & Games, Activity Books, Geography & Cultures, Multicultural Stories, Royalty"
9780767915472,7,4,Medical Apartheid: The Dark History of Medical Experimentation on Black Americans from Colonial Times to the Present,Harriet A. Washington,Anchor,Non-Fiction,"NATIONAL BOOK CRITICS CIRCLE AWARD WINNER • The first full history of Black America’s shocking mistreatment as unwilling and unwitting experimental subjects at the hands of the medical establishment. No one concerned with issues of public health and racial justice can afford not to read this masterful book.<br/><br/>""[Washington] has unearthed a shocking amount of information and shaped it into a riveting, carefully documented book."" —New York Times<br/><br/>From the era of slavery to the present day, starting with the earliest encounters between Black Americans and Western medical researchers and the racist pseudoscience that resulted, Medical Apartheid details the ways both slaves and freedmen were used in hospitals for experiments conducted without their knowledge—a tradition that continues today within some black populations.<br/><br/>It reveals how Blacks have historically been prey to grave-robbing as well as unauthorized autopsies and dissections. Moving into the twentieth century, it shows how the pseudoscience of eugenics and social Darwinism was used to justify experimental exploitation and shoddy medical treatment of Blacks. Shocking new details about the government’s notorious Tuskegee experiment are revealed, as are similar, less-well-known medical atrocities conducted by the government, the armed forces, prisons, and private institutions.<br/><br/>The product of years of prodigious research into medical journals and experimental reports long undisturbed, Medical Apartheid reveals the hidden underbelly of scientific research and makes possible, for the first time, an understanding of the roots of the African American health deficit. At last, it provides the fullest possible context for comprehending the behavioral fallout that has caused Black Americans to view researchers—and indeed the whole medical establishment—with such deep distrust.",Paperback,"Human experimentation in medicine -- United States -- History., African Americans -- Medical care -- History."
9781955905817,6,2,Losing Sight,Tati Richardson,Generous Press,Non-Fiction,"What if a mysterious pair of glasses helped you to see life—and love—clearly?<br/><br/>Sports reporter Tanika “Nikki” Ryan is at the top of her game until she isn’t. Squinting at the teleprompter and flubbing lines, she loses her coveted Thursday Night football spot to a younger, less qualified woman—and that’s only the start of her troubles. After her impaired sight leads to an accident nearly costing her life, Tanika finds herself in the office of handsome widowed optometrist Gideon Miles. There, mysterious circumstances lead Tanika to an enchanted pair of glasses, changing her world—and Gideon’s—forever. With help from her “boss chick village” and a bit of magic, Tanika finally learns to see the love that’s right in front of her eyes.<br/><br/>In this high-heat and hilarious rom-com that harkens to the golden age of Black romance, celebrated novelist Tati Richardson proves life is sweeter after age forty, and gives readers of all ages a reason to believe in second chances.",Paperback,"Literature & Fiction, United States, Black & African American, Romance, Contemporary"
9781368028639,8,2,World of Reading: This is Miles Morales,Marvel Press Book Group,Marvel Press,Children's,"Discover how Miles Morales becomes Spider-Man in this leveled reader. Includes stickers for extra reading fun!<br/><br/>Miles Morales was just a normal kid living in Brooklyn―until he was bitten by a spider and discovered he had super powers! In this Level 1 early reader, young fans can learn to read while getting to know Miles' special powers and how he helps Peter Parker protect New York City as Spider-Man.<br/><br/>The Marvel World of Reading line of early readers is designed to offer reluctant readers books that they will want to read by featuring characters they love. The series is broken into three levels that invoke the rigorous training courses their favorite Marvel heroes must engage in to perfect their super powers.",Paperback,"Children's Books, Literature & Fiction, Chapter Books & Readers, Education & Reference, Action & Adventure, Science Fiction & Fantasy, Science Fiction"
9780593234778,7,2,Ghana to the World: Recipes and Stories That Look Forward While Honoring the Past,Eric Adjepong,Clarkson Potter,Non-Fiction,"A transportive, highly personal cookbook of 100 West African-influenced recipes and stories from Top Chef finalist Eric Adjepong.<br/><br/>""Sankofa"" is a Ghanaian Twi word that roughly translates to the idea that we must look back to move forward. In his moving debut cookbook, chef Eric Adjepong practices sankofa by showcasing the beauty and depth of West African food and its indelible impact on the foodways of the African diaspora through the lens of his own culinary journey.<br/><br/>Born in New York as the son of two Ghanaian immigrants, and traveling to and from Ghana since childhood, Eric’s experience of balancing the two parts of his Ghanaian-American identity is both powerful and universal. Through 100 soul-satisfying recipes plus narrative essays, Ghana to the World follows Eric’s path to forging his own unique culinary perspective through reflections on both his personal history and West African foodways. He includes traditional home-cooked meals from his mother, like a deeply flavorful jollof rice and a smoky, savory shrimp kontombre stew thick with leafy greens, alongside creative dishes like a sweet summer curried corn soup and lamb ribs with a peanutty mafe glaze influenced by his culinary education and that reflect the lasting connections among the cultures of the African diaspora.<br/><br/>Full of stunning photography shot in Ghana and remembrances rooted in family, tradition, and love, Ghana to the World shows readers how the unsung story of a continent’s cuisine can shine a powerful light on one person’s exploration of who he is as a chef and a man.",hardcover,Home economics
9780593192092,9,3,"Set Boundaries, Find Peace: A Guide to Reclaiming Yourself",Nedra Glover Tawwab,TarcherPerigee,Non-Fiction,"The instant New York Times bestseller<br/><br/>End the struggle, speak up for what you need, and experience the freedom of being truly yourself.<br/><br/>Healthy boundaries. We all know we should have them--in order to achieve work/life balance, cope with toxic people, and enjoy rewarding relationships with partners, friends, and family. But what do ""healthy boundaries"" really mean--and how can we successfully express our needs, say ""no,"" and be assertive without offending others?<br/><br/>Licensed counselor, sought-after relationship expert, and one of the most influential therapists on Instagram Nedra Glover Tawwab demystifies this complex topic for today's world. In a relatable and inclusive tone, Set Boundaries, Find Peace presents simple-yet-powerful ways to establish healthy boundaries in all aspects of life. Rooted in the latest research and best practices used in cognitive behavioral therapy (CBT), these techniques help us identify and express our needs clearly and without apology--and unravel a root problem behind codependency, power struggles, anxiety, depression, burnout, and more.",Hardcover,"Self-Help, Relationships, Codependency, Self-Esteem, Parenting & Relationships, Family Relationships, Dysfunctional Families"
